               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083247,            0.058837,            0.029865,              0.7365,             0.10363,            0.060146,            0.014606,            0.064106,            0.045177,             0.02416,             0.00296,             0.00296,             0.07336
                   1,            0.071601,             0.04234,            0.017879,             0.81397,             0.14067,             0.14136,            0.043508,            0.070884,            0.026803,            0.016821,             0.00593,             0.00593,             0.04663
                   2,            0.072687,            0.028529,            0.015845,             0.48144,             0.42048,             0.26397,            0.081707,            0.078485,            0.019557,            0.013647,              0.0089,              0.0089,              0.0199
                   3,            0.067353,            0.030648,             0.01229,             0.45553,             0.42051,             0.11142,            0.028463,            0.064227,            0.020582,            0.011596,                0.01,                0.01,                0.01
                   4,            0.062587,            0.024997,            0.010195,             0.62949,             0.49248,             0.41996,             0.18753,            0.057686,            0.018918,           0.0096669,                0.01,                0.01,                0.01
                   5,            0.054022,            0.024407,            0.008961,             0.87502,             0.49842,              0.5673,             0.26128,            0.047101,            0.018758,           0.0081797,           0.0099999,           0.0099999,           0.0099999
                   6,            0.047051,            0.025335,           0.0088928,             0.80553,             0.44727,             0.47807,             0.20787,            0.043447,            0.019553,           0.0079544,           0.0099999,           0.0099999,           0.0099999
                   7,             0.04274,            0.024553,           0.0078858,             0.82205,             0.48307,             0.53092,             0.24969,            0.041431,            0.018975,           0.0067691,           0.0099998,           0.0099998,           0.0099998
                   8,            0.039121,            0.023546,           0.0071247,             0.89454,             0.54119,             0.59213,              0.3147,            0.034018,            0.019077,           0.0067687,           0.0099997,           0.0099997,           0.0099997
                   9,            0.035258,            0.024124,           0.0065241,             0.83512,             0.55205,             0.59066,              0.3196,            0.032365,            0.019401,           0.0067546,           0.0099996,           0.0099996,           0.0099996
                  10,            0.032757,            0.023165,           0.0065132,             0.91402,             0.57323,             0.63904,             0.34197,            0.031765,            0.018354,            0.006212,           0.0099996,           0.0099996,           0.0099996
                  11,            0.035607,             0.02188,           0.0060004,             0.89883,             0.57381,             0.64986,             0.32016,            0.030183,            0.018421,           0.0064116,           0.0099994,           0.0099994,           0.0099994
                  12,             0.03342,            0.021202,           0.0062307,              0.8966,             0.57889,             0.63156,              0.3367,            0.029668,            0.018284,           0.0060336,           0.0099993,           0.0099993,           0.0099993
                  13,            0.028325,             0.02059,           0.0060966,             0.93296,              0.5609,             0.61732,             0.36111,            0.026766,            0.018296,           0.0069174,           0.0099992,           0.0099992,           0.0099992
                  14,            0.028954,            0.022153,           0.0053997,             0.88546,             0.54655,             0.60523,             0.31862,            0.028598,            0.018549,           0.0053846,           0.0099991,           0.0099991,           0.0099991
                  15,            0.029849,              0.0221,           0.0058782,             0.52456,             0.66808,             0.62866,             0.36416,            0.028599,            0.018304,           0.0062509,           0.0099989,           0.0099989,           0.0099989
                  16,            0.030093,            0.021887,           0.0051908,             0.50364,             0.68666,             0.63985,              0.3648,            0.028184,            0.018397,           0.0055017,           0.0099988,           0.0099988,           0.0099988
                  17,            0.027925,            0.021478,           0.0056081,             0.61518,             0.69519,             0.66571,             0.39813,            0.026249,            0.018221,           0.0057298,           0.0099986,           0.0099986,           0.0099986
                  18,            0.028636,            0.020224,           0.0054918,             0.56762,             0.66552,             0.65829,             0.40087,            0.027253,            0.018058,           0.0058188,           0.0099984,           0.0099984,           0.0099984
                  19,            0.027606,            0.020252,            0.004595,             0.60478,             0.67259,              0.6787,             0.41478,            0.028009,            0.018223,           0.0055756,           0.0099982,           0.0099982,           0.0099982
                  20,            0.026292,            0.019907,            0.005182,             0.61236,             0.74072,              0.7146,             0.42047,            0.025281,            0.018564,           0.0061977,            0.009998,            0.009998,            0.009998
                  21,            0.026145,            0.020766,           0.0052775,             0.79582,             0.73111,             0.74055,             0.44118,            0.027381,            0.019026,           0.0052318,           0.0099978,           0.0099978,           0.0099978
                  22,            0.028402,            0.021302,           0.0048998,             0.69606,             0.74507,             0.72557,             0.41431,             0.02822,            0.018683,           0.0053612,           0.0099976,           0.0099976,           0.0099976
                  23,            0.028466,            0.021453,            0.004169,             0.70949,             0.76662,             0.73152,             0.44311,            0.026334,            0.018648,           0.0049973,           0.0099973,           0.0099973,           0.0099973
                  24,            0.025613,            0.020357,           0.0044841,             0.73076,             0.70458,             0.70079,             0.39106,            0.027682,            0.018925,           0.0056381,           0.0099971,           0.0099971,           0.0099971
                  25,            0.026341,            0.020091,           0.0051231,             0.82599,             0.73448,             0.77517,             0.45707,            0.025919,            0.018575,           0.0050446,           0.0099968,           0.0099968,           0.0099968
                  26,             0.02506,            0.019951,            0.004346,             0.76479,             0.71182,             0.74999,             0.47965,            0.024235,            0.018388,           0.0043901,           0.0099965,           0.0099965,           0.0099965
